ACO_Num,ACO_Name,ACO_Service_Area,ACO_Agreement_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Track_1,Track_1+,Track_2,Track_3,Adv_Pay,AIM,SNF_3-Day_Rule_Waiver,ACO_Address,ACO_Public_Reporting_Website,ACO_Exec_Name,ACO_Exec_Email,ACO_Exec_Phone,ACO_Public_Name,ACO_Public_Email,ACO_Public_Phone,ACO_Zip
A10180,UC Irvine Health Accountable Care Organization,CA,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"101 The City Drive South, Building 54, Suite 5700, Orange, California, 92868",http://www.ucirvinehealth.org/aco-cms-medicare-shared-savings-program,Howard J Federoff,federoff@uci.edu,(949) 824-5926,John Murray,jdmurray@uci.edu,(714) 456-7759,"92868(33.786678, -117.878026)"
A91221,"St. Rose Quality Care Network, LLC",NV,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"3001 St. Rose Parkway, Henderson, Nevada, 89052",http://srqcn.org/content.aspx?PageID=10319,Margaret Roper,margaret.roper@dignityhealth.org,(702) 616-5719,Natasha Jivani,natasha.jivani@dignityhealth.org,(626) 744-2483,"89052(35.98077, -115.106242)"
A03133,"Integrated Health Collaborative, LLC",OH,Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,0,0,"c/o Aultman Health Foundation, 2600 Sixth Street SW, Canton, Ohio, 44710",http://www.integratedhealthcollaborative.org/aco,Allison Oprandi,allison.oprandi@aultman.com,(330) 363-4931,Matt Ritzert,matt.ritzert@aultman.com,(330) 363-2431,"44710(40.791051, -81.419192)"
A24590,CPSI ACO 3 LLC,"GA, MS, NC",Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"7509 NW Tiffany Springs Parkway, Ste. 310, Kansas City, Missouri, 64153",https://caravanhealth.com/public-reporting-cpsi-aco-3-llc/,Robert Humphrey,bob.humphrey@evident.com,(916) 542-4582,Kristine Miller,kmiller@caravanhealth.com,(916) 542-4568,"64153(39.279203, -94.709199)"
A32693,"Osler Health ACO, LLC",NJ,Currently Participating,1,01/01/2017,01/01/2017,1,0,0,0,0,0,0,"288 Boulevard, Hasbrouck Heights, New Jersey, 07604",http://www.oslerhealthaco.com,James Doulgeris,jdoulgeris@oslernetwork.com,(201) 426-6526 x705,James Doulgeris,jdoulgeris@oslernetwork.com,(201) 426-6526 x705,"07604(40.86229, -74.07434)"
A46443,Minnesota Rural ACO,"MN, WI",Currently Participating,1,01/01/2016,01/01/2016,1,0,0,0,0,1,0,"9450 SW Gemini Dr, #88865, Beaverton, Oregon, 97008-7105",http://www.caravanhealth.com/public-reporting-minnesota-rural-aco ,Greg Paris,gparis@caravanhealth.com,(916) 542-4582,Kristine  Miller,kmiller@caravanhealth.com,(916) 542-4582,"97008(45.460518, -122.806409)"
A05872,WESTMED Medical Group,"CT, NY",Currently Participating,2,07/01/2012,01/01/2016,1,0,0,0,0,0,0,"2700 Westchester Avenue, Purchase, New York, 10577",https://www.westmedgroup.com/wp-content/uploads/2017/11/ACO-Reporting-Information-2018.pdf,Steven Meixler,smeixler@westmedgroup.com,(914) 682-6473,Mary Ellen Feller,mfeller@westmedgroup.com,(914) 831-4127,"10577(41.0353, -73.713815)"
A11149,"Connected Care of Mississippi, LLC",MS,Initial,1,01/01/2018,01/01/2018,1,0,0,0,0,0,0,"3401 West End Avenue, Suite 290, Nashville, Tennessee, 37203",www.connectedaco.com,Paul VanLandingham,pvanlandingham@mbhs.org,(601) 352-2273,Phillip Denny,phillip.denny@vhan.com,(615) 875-8761,"37203(36.150195, -86.790206)"
A40874,"Chautauqua Region Associated Medical Partners, LLC","NY, PA",Currently Participating,2,07/01/2012,01/01/2016,1,0,0,0,0,0,0,"200 Harrison Street , Suite 200, Jamestown, New York, 14701",www.cchn.net/amp,Ann Abdella,abdella@cchn.net,(716) 338-0010 x1202,Ann Abdella,abdella@cchn.net,(716) 338-0010 x1202,"14701(42.088748, -79.250031)"
A02117,"Heritage Valley Healthcare Network ACO, LLC","OH, PA, WV",Initial,1,01/01/2018,01/01/2018,0,1,0,0,0,0,0,"1000 Dutch Ridge Road, Beaver, Pennsylvania, 15009",www.heritagevalley.org/aco,Norman Mitry,nmitry@hvhs.org,(724) 773-2024,Suzanne Sakson,ssakson@hvhs.org,(412) 749-7454,"15009(40.699798, -80.348943)"
