ACO_Num,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Initial_Track_1,Initial_Track_2,Initial_Track_3,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Adv_Pay,AIM,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,Met_QPS,QualScore,Prior_Sav_Adj,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,acute_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO8,ACO35,ACO36,ACO37,ACO38,ACO44,ACO43,ACO11,ACO12,ACO13,ACO14,ACO15,ACO16,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,DM_Comp,ACO27,ACO41,ACO28,ACO30
A67373,"Palm Beach Accountable Care Organization, LLC",Florida,Renewal,2,07/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,67521,0.070179641,0.02,63152570,63152570,,28529398,1,0.9219,304,0,,13631,13568,899870234,836717663,,,0.5,0.461,86717,12687,19722,11679,83281,13103,19515,11653,84909,13152,18522,11590,82533,12168,16675,11845,12674,1.039,1.129,1.071,1.151,1.041,1.11,1.061,1.157,1.046,1.122,1.106,1.161,1.008,1.035,1.053,1.143,512,4451,5240,59852,66017,457,3700,4403,57457,5403,28223,21971,11924,39133,28388,59254,3428,398,2466,21,1954,3256,2883,106,257,48,272,817,0,1736,5628,117,901,235,336,313,3,14,6,16,13,18,178,835,73,666,255,965,454,14928,5721,8413,772,22,0,0,0,0,0,367,404,141,83,0,81.68,94.39,93.29,85.68,66.12,78.17,71.76,27.23,15.83,19.94,54.39,78.19,58.59,58.76,1.7,100,95.94,92.05,91.13,81.2,90.54,97.12,86.17,90.71,84.86,92.61,19.67,74.1,7.57,78.49,88.29,96
A76261,Hackensack Alliance ACO,"New Jersey, New York",Renewal,2,04/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,35513,0.097696381,0.023448648,43647091,43647091,,18157748,1,0.849,270,0,,12866,12306,446762619,403115528,,,0.5,0.4245,111954,12293,19340,11070,119023,12880,17266,11468,91815,12186,15065,10584,84543,11947,14962,10668,11609,1.058,0.952,1.038,1.06,1.077,1.02,1.022,1.083,1.035,0.976,0.958,1.02,1.002,0.967,0.971,1.011,159,1899,1789,23516,34724,255,2548,2458,29463,3590,15820,10485,5618,21010,14503,28975,2464,911,1333,19,1811,3327,3017,43,194,96,144,1041,0,2308,4205,87,535,177,284,266,1,9,8,16,9,15,184,829,70,600,219,820,314,11624,3826,7206,589,4,0,0,0,0,4,395,520,187,83,2,78.23,91.46,91.11,83.78,60.03,72.39,74.71,19.58,15.78,19.79,55.1,82.63,60.42,68,1.62,100,88.72,83.06,78.22,72.58,88.66,97.18,78.63,66.13,76.21,93.75,18.37,40.73,11.29,43.55,81.45,87.5
A38596,NH Accountable Care Partners,"New Hampshire, Maine, Massachusetts",Renewal,2,07/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,54965,-0.007585665,0.021006901,-4294649,0,,0,1,0.881,0,0,,10548,10190,566153278,570447927,,,0.5,0.4405,85328,9672,16734,8951,87357,9596,17415,9310,85898,10308,18411,9336,86913,10829,19054,9762,10628,1.036,0.935,1.063,0.975,1.041,0.935,1.066,0.983,1.034,0.952,1.074,0.964,1.006,0.925,1.034,0.959,215,7426,2477,43842,53675,218,6618,2433,44406,8126,25029,14801,7009,30954,24011,52904,290,171,127,24,1449,3637,3144,18,372,121,289,777,0,2665,2577,134,656,195,325,298,1,18,8,20,14,18,172,830,65,752,228,759,287,9438,2999,4094,2169,176,0,4,0,0,12,530,681,364,250,3,84.86,91.74,89.47,83.4,69.9,76.53,75.03,26.45,15.33,18.25,53.7,84.46,65.62,61.36,2.12,100,72.3,79.46,79.92,90.7,72.45,97.07,71.26,78.14,77.01,85.65,0,56.34,8.21,59.33,74.34,94.92
A60892,"Arizona Connected Care, LLC",Arizona,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,7491,-0.041734539,0.033017017,-2824366,0,,0,1,0.9548,0,0,,9257,9401,67674553,70498920,,,0.5,0.4774,67255,8479,8768,8016,69578,8638,8197,8042,69018,8809,9367,7889,71987,10620,8867,8760,9643,0.986,1.019,0.767,0.968,1.02,1.051,0.746,0.937,0.945,1.022,0.784,0.958,0.955,1.045,0.757,0.932,105,822,379,4692,7311,79,768,381,6082,1088,3803,1971,629,4277,3214,6405,168,82,355,251,230,3343,2832,83,382,86,103,356,0,2022,3481,143,286,189,306,269,4,21,12,9,8,14,167,784,33,719,176,773,361,9572,2937,4201,1022,1412,0,41,0,0,0,212,48,148,5,0,79.36,93.34,92.79,81.35,63.67,79.35,74.29,19.92,14.93,17.29,50.34,73.7,58.08,76.47,1.91,100,79.75,74.35,65.23,78.34,72.88,95.92,73.53,65.09,71.8,75.29,3.7,48.28,19.93,60.31,63.49,83.84
A46707,"Premier ACO Physicians Network, LLC",California,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,8786,0.02722488,0.031213213,3174890,0,,0,1,0.9206,0,0,,13618,13507,116617210,113442321,,,0.5,0.4603,94595,10603,15397,10485,97683,11955,15730,10682,82364,11103,17595,10346,88746,14095,15786,9916,13248,1.032,1.11,1.009,1.126,0.999,1.108,1.001,1.115,1.002,1.089,1.031,1.117,1.002,1.099,1.004,1.026,157,1007,1355,5394,8563,182,1037,1684,5660,1409,3805,2327,1245,4940,3846,5650,841,926,699,12,658,4341,3722,275,311,145,329,1188,1,2099,4369,114,1023,278,348,315,8,12,14,17,8,18,174,791,63,675,258,703,329,11231,4971,5964,288,9,0,0,0,0,0,138,105,25,20,0,82.7,92.79,93.3,85.5,59.37,75.03,69.5,26.3,14.96,17.46,59.7,73.58,57.32,68.97,1.77,100,42.18,42.57,42.82,40.23,68.69,72.63,24.4,35.42,46.37,67.07,11.11,11.23,33.96,14.44,70.67,65.88
A76034,"Coastal Carolina Quality Care, Inc.",North Carolina,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,1,0,12593,0.06070558,0.028443889,7291574,7291574,,3370629,1,0.9434,0,0,,9760,9426,120113738,112822164,847048,847048,0.5,0.4717,69532,8834,14048,8031,61841,9465,11240,8032,61666,9740,11616,8490,61157,9453,12823,8673,9168,0.961,0.968,0.999,0.926,0.99,1.017,0.992,0.946,0.992,0.971,0.992,1.007,0.97,1.013,0.983,0.991,77,918,415,9629,12306,65,983,458,10801,1374,6219,3651,1349,7059,5534,10626,1688,29,15,8,227,2901,2739,39,127,10,176,346,0,1526,3840,79,248,229,234,225,1,7,1,12,8,11,121,819,36,554,158,1046,459,11496,4595,4668,2229,4,0,0,0,0,0,34,23,17,24,0,80.53,93.21,93.44,84.88,65.84,72.95,73.19,28.62,13.93,17.91,39.9,65.05,47.71,48,1.35,100,78.93,86.44,88.36,93.79,90.21,98.53,85.35,87.09,92,87.76,11.11,75.13,7.85,80.63,84.09,96.23
A53334,"Physicians Healthcare Collaborative, LLC",North Carolina,Renewal,2,01/01/2013 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,13503,-0.014578141,0.02789778,-1650947,0,,0,1,0.9237,15,0,,8593,8184,113248145,114899092,,,0.5,0.4619,67096,8209,10914,7301,67203,8995,12196,7394,71113,8447,13387,7458,67701,9211,15177,8169,8718,0.964,0.969,0.909,0.883,0.979,0.944,0.942,0.895,1.01,0.952,0.93,0.87,0.942,0.915,0.996,0.891,82,1284,338,10741,13179,63,1140,327,11649,1691,7451,3421,940,7479,6024,11537,1561,41,25,14,325,2588,2443,7,115,33,121,435,0,1601,3454,95,345,266,232,222,0,6,3,11,8,15,137,818,41,526,154,742,283,10095,3358,4146,2569,23,0,0,0,0,0,66,72,44,62,0,79.13,93.27,93.28,85.04,63.94,76.55,74.37,33.29,14.87,17.52,53.68,75.77,59.95,40,2.04,100,97.85,80.71,82.84,92.15,97.42,95.42,77.41,78.83,87.99,86.35,7.89,39.37,10.1,42.86,75.2,94.2
A01714,Essentia Health,"Minnesota, Wisconsin, North Dakota",Renewal,2,07/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,0,0,1,0,0,26500,0.014683723,0.01,4159292,4159292,,2837135,1,0.9281,0,0,,10954,10353,283258700,279099408,,,0.75,0.696,80820,8849,14967,8896,74870,9095,14364,8856,82546,9719,15254,9328,82781,10321,15119,9814,10794,1.024,0.951,1.014,1.007,0.995,0.948,1.036,1.01,1.015,0.961,1.048,1.041,1.071,1.042,1.101,1.071,184,5944,1764,19753,25858,184,5783,1697,18194,6052,9282,7103,4063,14535,11965,25315,171,47,37,567,363,3782,3576,22,119,85,292,827,0,3660,1975,134,239,226,331,317,0,6,8,16,9,17,167,840,70,922,161,729,236,8315,3255,2453,2093,514,16,0,17,0,24,655,1289,726,426,24,84.11,92.31,91.99,81.73,66.97,75.42,73.39,21.77,14.71,17.41,49.6,79.48,61.95,57.41,1.85,100,99.36,98.27,69.35,93.39,73.78,99.5,90.94,79.18,79.44,83.76,12.83,55.37,10.25,60.66,77.54,95.75
A65596,"Integrated Care Alliance, LLC",Florida,Renewal,2,07/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,6374,0.031696189,0.035251251,2031672,0,,0,1,0.9206,0,0,,10309,9890,64098300,62066628,,,0.5,0.4603,76193,8245,13767,8154,82541,8843,13791,8442,89302,9628,15672,8638,66355,9268,14654,9204,9982,0.98,0.948,0.972,0.94,1.001,0.963,0.925,0.957,0.995,0.958,0.96,0.968,0.987,1.011,1.041,0.974,60,885,341,4824,6218,52,762,336,5068,997,3125,1741,511,3598,2776,5517,576,41,95,2,143,2900,2574,75,239,51,141,575,0,1254,4398,105,625,244,323,301,2,12,8,16,14,17,161,818,46,633,234,1031,395,11483,4366,6544,520,53,0,0,0,0,0,31,56,20,19,0,75.04,91.81,89.94,82.78,63.88,72.6,73.7,24.39,15.44,19.33,55.74,77.14,61.25,76,1.85,100,98.21,84.98,74.9,80.12,81.93,97.2,69.26,65.08,74,79.77,8.72,32.14,14.29,36.9,82.78,89.1
A99401,"Accountable Care Organization of the North Country, LLC",New York,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,8326,-0.034151056,0.031673674,-2550539,0,,0,1,0.9119,0,0,,9209,8863,74684051,77234590,,,0.5,0.456,81876,7663,12231,8018,66750,8089,12607,7940,56680,8411,12868,8169,71486,9849,15082,8602,9524,1.014,0.898,1.035,1.012,1.001,0.878,1.012,1.022,0.974,0.874,1.031,1.021,0.999,0.912,1.082,0.983,27,1647,744,6189,8110,24,1369,662,6055,1662,3580,2131,953,4540,3786,8063,29,15,8,39,172,3254,3109,0,72,77,95,437,0,3140,2078,171,286,331,316,304,0,2,10,20,21,19,180,840,42,895,238,836,273,9740,4411,3442,1487,400,0,0,0,0,0,63,93,0,0,0,79.93,93.87,91.67,81.86,64.42,79.29,74.25,16.3,15.28,17.97,55.64,82.87,65.52,62.5,2.07,100,43.01,93.98,84.08,82.66,72.52,97.45,81.23,80.07,78.29,80.99,2.78,60.9,12.24,69.25,80.4,91.72
