organization,hand_coded_assignee_form
"Synbank, Inc.",FINANCIAL
HSBC Bank USA,FINANCIAL
DWBH Ventures Ltd.,FINANCIAL
MINERVA PATENTS S.A.,FINANCIAL
AZA HOLDING PTE. LTD.,FINANCIAL
Rokko Ventures Pte Ltd,FINANCIAL
Blue Mountain Ventures,FINANCIAL
Alvex Development Corp.,FINANCIAL
FlySun Development Co. Ltd.,FINANCIAL
"First National Piggy Bank, Ltd.",FINANCIAL
"GLASS INVESTMENT PROJECTS, INC.",FINANCIAL
R.R Design and Development Ltd.,FINANCIAL
"The Invention Science Fund I, LLC",FINANCIAL
Fluorodiagnostic Limited Partners,FINANCIAL
Yu Tung Investment Holdings Limited,FINANCIAL
Leas Brothers Development Corporation,FINANCIAL
Power Disc Development Corporation Ltd.,FINANCIAL
"BANK OF AMERICA, N.A., AS COLLATERAL AGENT",FINANCIAL
Lantas Development and Industries (1984) Ltd.,FINANCIAL
"Broadridge Investor Communication Solutions, Inc.",FINANCIAL
Avago Technologies General IP (Singapore) Pte. Ltd.,FINANCIAL
"International Truck International Property Company, L.L.C.",FINANCIAL
"DALIAN SANHUAN COMPOSITE MATERIAL TECHNOLOGY DEVELOPMENT CO., LTD.",FINANCIAL
3U Partners,FINANCIAL
I.P. Holdings,FINANCIAL
Hultdin Invest AB,FINANCIAL
Marsol Trading LLC,FINANCIAL
"BTI Holdings, Inc.",FINANCIAL
QP Holdings Limited,FINANCIAL
Cusenza Partnership,FINANCIAL
SFS intec Holding AG,FINANCIAL
EQUITEC HOLDING B.V.,FINANCIAL
"Wanaka Holdings, LLC",FINANCIAL
Soma Development LLC,FINANCIAL
"Fannin Partners, LLC",FINANCIAL
LAPORTE HOLDING (SAS),FINANCIAL
"ZiLift Holdings, Ltd.",FINANCIAL
Equity IP Holdings LLC,FINANCIAL
"Cerealus Holdings, LLC",FINANCIAL
Bakker Holding Son B.V.,FINANCIAL
"Ledgetech Holdings, LLC",FINANCIAL
Gannet Holdings Limited,FINANCIAL
LPI Limited Partnership,FINANCIAL
Myers Holdings Pty. Ltd.,FINANCIAL
BHB General Partnership ,FINANCIAL
Investors Enterprises LLC,FINANCIAL
"Carucel Investments, L.P.",FINANCIAL
Eurofilters Holding N. V.,FINANCIAL
"Business-To-Investor, Inc.",FINANCIAL
"BWXT Foreign Holdings, LLC",FINANCIAL
"RLTW Hatchet Holdings, LLC",FINANCIAL
DC & BV France Holding SAS,FINANCIAL
G.P.R. Scholte Holding B.V.,FINANCIAL
Tummies Limited Partnership,FINANCIAL
"LiquidSpring Investors, Ltd.",FINANCIAL
Fidelity Investment Corporation,FINANCIAL
Holmbergs Childsafety Holding AB,FINANCIAL
Universal City Florida Partners ,FINANCIAL
East Channel Development Limited,FINANCIAL
R.P.O.M.C.T. Limited Partnership,FINANCIAL
Miranda Technologies Partnership,FINANCIAL
Normalair-Garret (Holdings) Limited,FINANCIAL
Gundle Holdings (Proprietary) Limited,FINANCIAL
Superconductor Development Corporation,FINANCIAL
Nelson Research and Development Company,FINANCIAL
"Union Biometrica Technology Holdings, Inc.",FINANCIAL
"Rohn and Haas Electronic Materials CMP Holdings, Inc.",FINANCIAL
"Partnership of M. G.Simic, P. D. Junger, D. M. Doyle, S. T. Jaros and B. Simic-Glavaski",FINANCIAL
"ORGKHIM BIOCHEMICAL HOLDING MANAGEMENT COMPANY, JOINT STOCK COMPANY (ORGKHIM BCH MANAGEMENT COMPANY, JSC)",FINANCIAL
"NTECH Propertie, Inc.",FINANCIAL
3M Innovative Properties Company,FINANCIAL
Blue H Intellectual Property Cyprus Ltd.,FINANCIAL
The Bella Trust,FINANCIAL
"Geary Trust, The",FINANCIAL
Pat O. Daily Revocable Trust,FINANCIAL
"Innovestor, LLC",FINANCIAL
Ethen Allen Finance Corporation,FINANCIAL
AMB,FIRM
ItoM,FIRM
INTAP,FIRM
CDM NV,FIRM
L.H.F.,FIRM
QOSMOS,FIRM
Thiriet,FIRM
Eurenco,FIRM
JZW LLC,FIRM
EFP LLC,FIRM
Nucleix,FIRM
H2 INC.,FIRM
Esec SA,FIRM
TDV Co.,FIRM
Rockland,FIRM
NEOENBIZ,FIRM
Hidex Oy,FIRM
MXT Inc.,FIRM
TM4 Inc.,FIRM
JME Inc.,FIRM
H4X e.U.,FIRM
Aveva NC,FIRM
Primanex,FIRM
Secans AG,FIRM
Susar A/S,FIRM
Locomatix,FIRM
Vibes LLC,FIRM
GOLOO ApS,FIRM
MOEBE APS,FIRM
IMMY INC.,FIRM
Magna Ply,FIRM
Menico AG,FIRM
Cibo N.V.,FIRM
Mizpah LC,FIRM
"LEP, Inc.",FIRM
"EMX, Inc.",FIRM
"PPM, Inc.",FIRM
Firma IBV,FIRM
Malaco AG,FIRM
"CROM, LLC",FIRM
"XDS, Inc.",FIRM
NKK Tubes,FIRM
"Osel, Inc.",FIRM
Adori Labs,FIRM
iPass Inc.,FIRM
Xorella AG,FIRM
Rodime PLC,FIRM
FUTRAN LTD,FIRM
MSA Gallet,FIRM
"Tuga, Inc.",FIRM
PROMENS SA,FIRM
Excorim AB,FIRM
"FAAC, Inc.",FIRM
ASKS Corp.,FIRM
HEELHO LLC,FIRM
NuCana plc,FIRM
First Byte,FIRM
Ogden Inc.,FIRM
Soundek Oy,FIRM
Snowie LLC,FIRM
"Tamr, Inc.",FIRM
"Deako, Inc.",FIRM
"Salemi, Inc",FIRM
FXGear Inc.,FIRM
"Xytec, Inc.",FIRM
Alpha-E APS,FIRM
"Organ, Inc.",FIRM
"Pillar, LLC",FIRM
THETFORD BV,FIRM
Sirenas LLC,FIRM
Velopa B.V.,FIRM
"Arvan, Inc.",FIRM
TuiLaser AG,FIRM
"Neone, Inc.",FIRM
Muehlhan AG,FIRM
Nethawk Oyj,FIRM
Veco S.R.L.,FIRM
Naltec Inc.,FIRM
"Kroozn, LLC",FIRM
"Pasar, Inc.",FIRM
Lear S.n.c.,FIRM
"OXYPRO, LTD",FIRM
Calpeda Spa,FIRM
Pharmaleads,FIRM
Sturda Inc.,FIRM
RJ Millwork,FIRM
"ETSec, Inc.",FIRM
"Thorn, Inc.",FIRM
Erga S.r.l.,FIRM
PURPLEPATCH,FIRM
Dual Air AS,FIRM
Fumedica AG,FIRM
"Jodac, Inc.",FIRM
"Ovante, LLC",FIRM
Vsoft Ltd. ,FIRM
THREE60 LLC,FIRM
STB Company,FIRM
SEPA S.R.L.,FIRM
Alldata LLC,FIRM
